id,sentence,difficulty
2278,"Deuxièmement, Spinoza précise bien que les hommes ""se vantent"" d'être libre car le désir d'être libre, même illusoire, est beaucoup plus valorisant pour l'orgueil humain que l'idée d'être totalement déterminé",C2
2279,"Hier, j'ai lu un peu et j'ai dormi sur le divan en cuir.",A2
2280,Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.,A2
2281,"Malgré les récentes réformes, le régime public constituant le premier pilier du système de retraite reste confronté à des problèmes de viabilité.",C1
2282,"À l'âge d'un an, il entrera dans une école pour suivre une formation pendant six à huit mois.",B1
2283,Parce que ça renforce vraiment les interactions entre les enseignants et les élèves.,B2
2284,Les horaires de travail sont parfois décalés en fonction de la nature et de la disponibilité des publics contactés (le soir par exemple).,B1
2285,"C'est peut-être un petit frère, un gentil chien comme moi .",A1
2286,"Et d'ajouter, afin de faire de l'école publique un lieu consensuel et inclusif, que les enseignants qui ""outrageraient les croyances religieuses de n'importe qui"" seraient durement sanctionnés.",C2
2287,"Ils l'appelaient tous monseigneur, et ils riaient quand il faisait des contes.",B2
2288,Plus que ça.,A1
2289,"Pendant quelques mois, je ne remarquai rien qui pût captiver mon attention.",C2
2290,J'adore ça.,A2
2291,Le Danemark est le premier pays du monde à autoriser l'accès à internet lors des examens qui peuvent parfois même compter pour la baccalauréat,B1
2292,"On dirait qu'elle ne les a jamais coupés, et ils forment autour de son visage comme une couronne de boucles noires.",B1
2293,"Observant que, à l'exception du changement de mode de scrutin pour les communes dont la population est comprise entre 2 000 et 3 500 habitants, le texte issu des travaux de l'Assemblée nationale avait recueilli une approbation presque unanime de tous les groupes de cette assemblée, le rapporteur a souhaité rappeler que la démarche suivie par les députés, consistait à mettre en oeuvre des solutions permettant d'optimiser la présence des femmes dans la vie politique.",C1
2294,"Si les produits anti, pré et probiotiques agissent sur le comportement, en modifiant la composition de la flore intestinale, ils pourraient donc servir de médicaments psychotropes.",C1
2295,Je vais m'en occuper.,A2
2296,Je tombe sur une dame aimable qui a l'air au courant de mon affaire.,B1
2297,J'ai un colis pour votre voisine mais elle n'est pas là.,B1
2298,Vous avez des frères et soeurs ?,A1
2299,L'univers des francophones est un métissage unique et fertile,C1
2300,"L'Auberge du Presbytère nous attendait, chambre des vicaires",C2
2301,Il eut acheté des méthodes pour apprendre la guitare.,B2
2302,Ils sont heureux.,A1
2303,"D'ici là, ""l'infosphère"" continuera son expansion vertigineuse ; la masse de connaissances double déjà tous les deux ans.",C2
2304,Elle reconnaissait tous les enivrements et les angoisses dont elle avait manqué mourir.,C1
2305,"Pour mieux maîtriser son langage en septembre qu'en juin, l'écrivain Yak Rivais propose une approche très personnelle qui n'en finit pas de séduire",C2
2306,"Elle fait ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.",A1
2307,"En attribuant une valeur de flux potentiel aux liens du graphe, la segmentation fondée sur le critère de modularité aboutit à un découpage considéré comme optimal du point de vue de la dynamique démographique interne à chaque compartiment.",C1
2308,"Le modele theorique mis en oeuvre ici s'appuie sur l'idee d'un dispositif representatif qui jouerait sur trois niveaux : scenique, scenographique et enonciatif.",C2
2309,"C'est là, au bout de la rue.",A1
2310,"Je suis bilingue anglais parce qu'en rentrant à la maison après l'école, au lieu de faire mes devoirs, je regardais des séries américaines en version originale",C2
2311,"Entre 1860 et 1880, les bisons ont été éliminés par les Blancs pour nous enlever ce qui faisait notre vie : le coeur de notre culture, de notre spiritualité, mais aussi notre principale ressource et source d'alimentation.",C1
2312,"Un sondage auprès des Français, commandé à l'occasion de la Semaine du son qui commence lundi 21 janvier, montre l'influence majeure du bruit sur la vie quotidienne.",B2
2313,"Malheureusement, seuls les milieux favorisés et plus éduqués sont capables de renverser cette tendance en prenant en compte cet aspect du problème dans leur vie quotidienne.",C1
2314,Presque tous les jeunes déclarent aimer leur collège ou leur lycée.,B2
2315,Le bureau est en face de la machine à café.,A2
2316,Vous souffrîtes du froid intense de l'hiver qui s'engoufrait dans les avenues bondées de passants empressés,C2
2317,Cette loi avait pour objectif de permettre aux croyants et non-croyants de vivre ensemble.,B2
2318,Mais cette initiative suscite par ailleurs beaucoup de réticences.,C2
2319,"Cependant, un recours en urgence a suspendu la décision, imposant le statu quo le temps qu'une cour d'appel examine le dossier, et ce afin d'éviter un ""effet yo-yo"".",C1
2320,"Excusez-moi, serait-il possible de changer de table ?",A2
2321,"Ce n'est une surprise pour personne: avec le semi-confinement et le télétravail, les conflits entre voisins ont augmenté.",B1
2322,"Écris-moi pour me raconter ce que tu fais, comment sont tes nouveaux collègues et comment ça va avec ton chef.",A2
2323,Je sors avec des amis.,A1
2324,La gestion de la complexité sera bien le défi majeur du XXIe siècle.,B2
2325,Marie-Hélène Lahaye a fait et fait beaucoup dans la lutte contre les violences obstétricales et gynécologiques (VOG) mais utilise cette affaire de façon erronée,C1
2326,"Machine intelligente (capable d'apprentissage), utilisée déjà dans le contexte des loisirs, de l'éducation, de la médecine, de la police, de l'armée, de la conquête spatiale, etc., le robot est voué à exécuter toutes les tâches pour lesquelles on voudra, ou pourra, le programmer.",C2
2327,Mais très vite l'usage de la moto se répandit en commençant par être un outil de travail des professions libérales.,C1
2328,"À l'aube de notre modernité, Mary Shelley questionnait la nature humaine et non la machine: le face-à-face entre Frankenstein et sa créature autonome interroge la possibilité d'un homme sans âme.",C1
2329,"Dans la forêt aux éclats dispersés de soleil, immobile forêt d'antique effroi, il allait le long des enchevêtrements, beau et non moins noble que son ancêtre Aaron, frère de Moïse, allait, soudain riant et le plus fou des fils de l'homme, riant d'insigne jeunesse et amour, soudain arrachant une fleur et la mordant, soudain dansant, haut seigneur aux longues bottes, dansant et riant au soleil aveuglant entre les branches, avec grâce dansant, suivi des deux raisonnables bêtes, d'amour et de victoire dansant tandis que ses sujets et créatures de la forêt s'affairaient irresponsablement, mignons lézards vivant leur vie sous les ombrelles feuilletées des grands champignons, mouches dorées traçant des figures géométriques, araignées surgies des touffes de bruyère rose et surveillant des charançons aux trompes préhistoriques, fourmis se tâtant réciproquement et échangeant des signes de passe puis retournant à leurs solitaires activités, pics ambuants auscultant, crapauds esseulés clamant leur nostalgie, timides grillons tintant, criantes chouettes étrangement réveillées.",C2
2330,J'ai perdu ma montre.,A1
2331,"L'objectif étant de susciter un changement d'attitude et un engagement à long terme, et non d'obtenir une quelconque compensation financière, assure-t-on.",C1
2332,Le soir vous pouvez faire un tour en bateau jusqu'à la Tour Eiffel.,A1
2333,"La salle internet est la deuxième salle après les toilettes, à gauche.",A1
2334,"En janvier dernier, j'ai voulu laisser un message sur le répondeur de mon frère.",B1
2335,"Viennent ensuite les personnes âgées, puis les personnes malades ou handicapées, qui font l'objet d'une sollicitude en hausse.",C1
2336,un berger est une personne chargée de guider et de prendre soin des troupeaux de moutons ou plus généralement de bétail.,B1
2337,"Bonjour, je voudrais deux kilos de fraises et un kilo de haricots.",A1
2338,"Des sénateurs républicains mais aussi un démocrate s'étaient ouvertement déclarés contre son arrivée au poste de directrice du Bureau de la gestion et du budget à la Maison Blanche (OMB), un service très puissant, notamment chargé de développer le budget voulu par le président.",B2
2339,Il s'agit vraiment d'introduire l'informatique dans la culture générale.,C2
2340,"En kiosque depuis le 1er mars, le magazine Changer tout résume l'ambition de leur reconversion.",C1
2341,Son père se maria quatre fois et lui donna dix frères et deux soeurs légitimes venus après Léonard.,C1
2342,"Car, en fait, les Français n'ont pas franchement le beau rôle : désagréables, disant non à tout, préférant fumer plutôt que de manger, démarrant leur journée de travail à 10 h 30, ils sont aussi présentés comme étant les rois de l'infidélité, une pratique acceptée de tous, y compris des compagnes ou compagnons trompés.",B2
2343,"Au fond, une grande écharpe en dentelle de Bruges, d'un prix considérable, élargissait un voile d'autel, deux ailes déployées, d'une blancheur rousse ; des volants de point d'alençon se trouvaient jetés en guirlandes ; puis, c'était, à pleines mains, un ruissellement de toutes les dentelles, les marines, les valenciennes, les applications de Bruxelles, les points de Venise, comme une tombée de neige.",C2
2344,"Elle tournait tant autour du pot et plus encore, que le marquis perdit patience",C2
2345,Il est gros.,A1
2346,"Après une marche sur les Champs-Élysées, je suis au pied de la Tour Eiffel",B1
2347,"Plus tôt, ils avaient été remis à un procureur, escortés de 15 officiers de police japonais venus spécialement aux États-Unis samedi pour l'occasion.",C1
2348,Ils sont au lycée français.,A1
2349,"Comme avec Les sorcières sont NRV (Ecole des loisirs), qui n'ont pas pris une ride depuis 1988, et où articles, adverbes et pronoms entrent dans une danse endiablée, ou encore avec LFHE la sorcière (Ecole des loisirs), où cette fois ce sont les adjectifs qui sont prestidigitisés",C2
2350,"Il vient de demander la main de Bella et l'avenir semble briller, mais. Quand l'artiste donne le dernier coup de pinceau à sa toile, les nazis ont déjà commencé à expulser les juifs, contraints de quitter leurs maisons, emportant ce qu'ils peuvent.",B2
2351,"Je réponds toujours que ça n'a pas été difficile physiquement, mais que j'ai dû travailler sur l'image que donnait ce comique.",B1
2352,"Vous êtes embarrassée, presque offensée de mon trouble.",C2
2353,Il a déjà inventé une machine à enlever la peau des bananes !,A2
2354,"Oh, ça fait du bien de changer d'air quelques jours.",B1
2355,"Après le cours, vous boirez un verre en notre compagnie, vous rirez aux éclats et aurez du bon temps avec vos amis.",B1
2356,J'aurais voulu pouvoir quitter le bureau à 13h.,B2
2357,Je mange de l'herbe,A1
2358,"Il faut du temps et du courage pour soigner toute cette ménagerie En plus des animaux, il faut aussi s'occuper du potager de mon papy",A2
2359,"Nous devons apprendre une multitude de langages : scientifiques tels le numérique, les langues étrangères, les langages des sons et des images, le langage du corps.",B2
2360,"C'est la commémoration, c'est-à-dire la fête anniversaire, de la fin de la Seconde Guerre mondiale",B1
2361,"Des variations significatives de cet indice sur une période inférieure à plusieurs décennies sont peu probables en l'absence de réformes territoriales conséquentes, ce qui a été rarement le cas en Suisse après 2000 en comparaison internationale.",C2
2362,Statistiquement le risque de transmission de maladies infectieuses est nettement plus élevé dans certaines situations.,C1
2363,J'ai passé une très bonne journée de vacances.,A1
2364,Quelle est ta chanson préférée dans le spectacle ?,A1
2365,"Si on cherche des côtés positifs à cette bluette, quelques répliques sont bien senties et des scènes comiques réussies, notamment quand il est question des subtilités de notre langue et des faux amis, ces mots qui se ressemblent entre anglais et français avec des significations différentes.",B2
2366,La traçabilité permet de reconstituer une séquence d'événements à partir des données numériques laissées dans les systèmes lors de leurs réalisations.,C1
2367,Anna s'amusait avec son frère quand il s'est cassé le bras gauche.,A2
2368,"Oui, je parle un peu.",A1
2369,Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.,A2
2370,"Après 13 ans aussi, pour des raisons sociales, l'enfant commence à éprouver des contraintes caractérielles, des réticences dues à la volonté de défendre son image, à la peur du ridicule, toutes choses qui sont des attitudes d'adulte",C2
2371,"Grande amoureuse des couleurs et de la cuisine italienne, Irène Jacob a trouvé dans la culture slave la force de l'expression des sentiments jusqu'au tragique.",C1
2372,Je fais du sport tous les jours.,A2
2373,"Non, c'est en fonction de la facilité de la chanson.",A2
2374,La Chine et l'Inde connaissent depuis dix ans une augmentation du taux de surpoids de 5 %.,C1
2375,"Bonjour, ça va ?",A1
2376,Donne-moi de tes nouvelles plus souvent !,B1
2377,"Oui, des feux de forêt qui frappent le sud-est du pays depuis le mois de septembre et qui ont fait une 24e victime ce week-end",B1
2378,"Mets ça sur ton pied, ça va soulager la douleur.",A2
2379,"Voie 3, le TGV à destination de Marseille Saint Charles va partir",B2
2380,La tour Eiffel est le symbole de la ville de Paris,B1
2381,"Avec l'argent, notre professeur va acheter de la peinture et des crayons pour le cours de dessin.",A2
2382,"Mais, poursuit Bacon, la science se doit de surmonter ces craintes et ces scrupules: elle doit triompher du sentiment d'impuissance qui la paralyse.",C2
2383,Quel est votre avis ?,A2
2384,Ils s'étaient imaginé pouvoir surmonter le deuil en se lançant dans les travaux de rénovation.,B2
2385,"La comtesse se mit à revoir, avec Fabrice, tous ces lieux enchanteurs voisins de Grianta, et si célébrés par les voyageurs : la villa Melzi de l'autre côté du lac, vis-à-vis le château, et qui lui sert de point de vue ; au-dessus le bois sacré des Sfondrata, et le hardi promontoire qui sépare les deux branches du lac, celle de Côme, si voluptueuse, et celle qui court vers Lecco, pleine de sévérité : aspects sublimes et gracieux, que le site le plus renommé du monde, la baie de Naples, égale, mais ne surpasse point.",C1
2386,"Ici, dans le palais, l'air était lourd et étouffant, mais, dans la forêt, le vent soufflait librement et le soleil, de ses caressants doigts d'or, écartait les feuilles frémissantes.",C1
2387,Dès qu'elle fut entrée elle fut dérangée par la cigarette.,C2
2388,Par ailleurs les conséquences structurelles d'une telle reconnaissance pour une organisation ne sont pas négligeables,C2
2389,"Cela étant bien compris, je crois qu'on se tiendra en repos."" Comme Pascal, Edgar Morin cherche à désarçonner le rationaliste qui, au plein de la crise actuelle de notre rapport à la nature, ne doute ni de ses démarches ni de sa volonté d'imposer son ordre.",C2
2390,"En haut des tours, il n'est pas conseillé de s'attarder trop longtemps devant le panorama parisien",C2
2391,La discipline est encore considérée comme réservée aux hommes.,B2
2392,Je propose que tout le monde apporte quelque chose à manger.,A1
2393,Vous deviez rendre des comptes à la justice pour vos crimes.,B1
2394,Mais pas de maison de poupées,A2
2395,J'ai peur du noir.,A1
2396,"Nous nous assîmes sur un banc recouvert de verdure, face aux cieux étincellant et nous vîmes l'aurore s'éveiller.",C2
2397,"Après ça, nous étions un peu fatigués",A2
2398,"Il s'établit donc, dans le petit public qui m'environnait, une inquiétude vague sur mon caractère.",C2
2399,"""Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",B1
2400,"Pourtant, les conséquences de la mise en place de telles pratiques de gestion permettent de s'interroger sur les raisons véritables qui poussent une entreprise à évaluer ses connaissances",C2
2401,"Ainsi l'abbé Blanès n'avait pas communiqué sa science assez difficile à Fabrice ; mais, à son insu, il lui avait inoculé une confiance illimitée dans les signes qui peuvent prédire l'avenir.",C1
2402,"La 9e conférence des Nations unies sur le climat s'est achevée hier, dans une ambiance mi-figue, mi-raisin.",C1
2403,"OK, alors on se tient au courant pour samedi prochain ?",A2
2404,"Le Falcon 1 est un lanceur théoriquement réutilisable qui peut placer, selon son constructeur, 670 kg en orbite basse.",C1
2405,Le gâteau est dans le frigo.,A2
2406,"Née de la contraction anglaise de ""no-mobile phobia"", la nomophobie est, en simplifiant, une crainte obsédante et continuelle, de ne pas avoir son smartphone en état de marche avec soi.",B2
2407,"Des grosses parts pour les guerriers et pour Zahor, des petites parts pour les femmes et les enfants et enfin les os pour les chiens.",A2
2408,Le chien de ma voisine fais beaucoup de bruit.,A1
2409,"La réussite professionnelle fait oublier l'âge, l'échec le rappelle, reconnaît-il.",C1
2410,"Des délires, il en a, l'artiste qui débarque d'Evry en Île-de-France avec un baccalauréat littéraire en poche",B1
2411,"Actuellement, les moyens alloués pour le suivi des populations sont en diminution, et l'observation systématique de toutes les communes (ou de toutes les zones) est remise en question ; dans ce contexte, il semble intéressant de procéder au suivi des populations à partir d'un découpage spatial spécifiquement dédié, plutôt que d'utiliser le maillage communal comme grille d'observation.",C1
2412,Je compte bien arriver dès huit heures.,B1
2413,"Il est un autre horizon qu'annoncent les biologistes : la sixième extinction des espèces, qui n'épargnera que les animaux d'élevage, propres à l'exploitation directe.",C1
2414,Il est peu probable que tu doives souvent arroser les plantes.,B2
2415,"Ce métier ne convient que pour un début de carrière, dans la vente, par exemple.",B1
2416,Ils chevauchent un coq à taille humaine.,B2
2417,Ils faisaient une grande fête à chaque année.,B1
2418,"Je ne sais quel instinct m'avertissait d'ailleurs de me défier de ces axiomes généraux si exempts de toute restriction, si purs de toute nuance.",C2
2419,Je t'appelerais dès que je reçois les documents,B1
2420,C'est le plat préféré de Manon,A2
2421,"Elle donne sur le jardin, vous y serez très bien.",A1
2422,La montée des valeurs humanistes est une réalité qui se poursuit et s'affirme.,B2
2423,Nous vous remercions de votre compréhension et nous vous souhaitons une excellente journée.,A2
2424,"Elle se déroule dans de nombreux pays, mais à des dates et avec des traditions différentes.",A2
2425,"Je suis allé voir où elle habite, sans rien dire à personne.",A2
2426,"Finalement, il est aussi question de scepticisme, réalisation du stoïcisme, et décriant l'être autre comme subjectif et remettant donc en cause son aspect véridique et absolu",C2
2427,"Pour moi, c'est pas du tout frustrant, je suis très content de partir en France et ça faisait très longtemps que j'avais envie de venir en Bretagne, donc pour moi, c'était une très bonne opportunité.",B1
2428,Je vais donner des numéros !,A1
2429,"Le gouvernement veut lutter contre la fraude dans la rénovation énergétique, notamment en renforçant les contrôles et en s'attaquant aux ""démarchages téléphoniques abusifs"".",C2
2430,"Plus que faire une visite, le promeneur remontera le temps et découvrira ainsi une partie de l'histoire de la région.",B1
2431,"En travaillant, je bois beaucoup de thé.",B1
2432,"Philae, qui s'est posé à l'ombre entre des rochers, a d'abord fonctionné avec une pile d'une durée de vie de 60 heures.",B1
2433,"Dans un premier temps, les locuteurs subissent une très forte pression - politique, sociale ou économique - pour parler la langue dominante.",C1
2434,"Elle est chanteuse, et elle est malienne.",A1
2435,"À cette époque, les conventions d'appellation modernes ne se sont pas encore développées en Europe.",C1
2436,Rien d'autre.,A1
2437,C'est chouette !,A1
2438,Il sortit vivement le téléphone et jeta un oeil sur l'écran avant de répondre.,B2
2439,La balle est partie.,A1
2440,"Aujourd'hui, c'est une tarte aux framboises avec de la confiture faite maison",A2
2441,"Si l'esprit consiste à se saisir, dans sa propre opposition à soi, nulle période n'est mieux marquée par son avènement que celle du subjectivisme absolu.",C2
2442,"A quelle distance, en milles, la cabane se trouve-t-elle de la ville ?",B1
2443,"Quand il y a un grand soleil sur la carte, il fera chaud sur la région",B1
2444,Et si nous allions au cinéma,B1
2445,"Moi aussi, je veux aller me promener !",A1
2446,"Abandonnez sans état d'âme le traditionnel cahier de vacances que les trois quarts des enfants ne terminent pas : la liste des produits alternatifs qui visent à ""faire aimer"" autant qu'à ""faire réviser"" est longue.",C1
2447,La forêt leur donnait du bois en abondance pour les foyers et les édifices ; les bêtes sauvages qui s'en échappaient venaient se faire prendre dans leurs pièges et les fournissaient de venaison .,B2
2448,L'écriture semble être devenue la reconversion professionnelle à la mode dans le milieu du grand banditisme.,B2
2449,Vous avez une voiture mais vous l'utilisez peu ?,A2
2450,"L'effet autocuiseur Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte.",C1
2451,"Il peut également rendre ""addict"". Le smartphone est aujourd'hui omniprésent dans nos vies : 58 % des Français déclarent avoir leur mobile 24h sur 24 h avec eux ; 41 % le consultent même au milieu de la nuit et 7 % vont jusqu'à répondre à leurs messages dans leur lit.",B2
2452,Il est assez calme.,A1
2453,"J'ai pris du poisson avec du riz, et mon frère a choisi un simple steak-frites",A2
2454,"Et dans cette ville inerte, cette foule criarde si étonnamment passée à côté de son cri comme cette ville à côté de son mouvement, de son sens, sans inquiétude, à côté de son vrai cri, le seul qu'on eût voulu l'entendre crier parce qu'on le sent sien lui seul ; parce qu'on le sent habiter en elle dans quelque refuge profond d'ombre et d'orgueil, dans cette ville inerte, cette foule à côté de son cri de faim, de misère, de révolte, de haine, cette foule si étrangement bavarde et muette.",C2
2455,Nous sommes normalement à un moment de l'année où ce genre de phénomènes est en train de diminuer,A2
2456,J'ai hâte !,A1
2457,Il agite son petit nez rose quand il me voit Ma grand-mère fait des gâteaux tous les jours,A2
2458,"Un néant à l'égard de l'infini, un tout à l'égard du néant, un milieu entre rien et tout, infiniment éloigné de comprendre les extrêmes."" Notre Pascal est celui de l'homme situé entre deux infinis, mélange de folie et de sagesse.",C2
2459,"Dans ma famille, on adore goûter les spécialités locales alors on a tout essayé, de la choucroute à la tarte flambée en passant par les kouglofs",B1
2460,Je suis nouveau ici.,A1
2461,"Oui, je me doute.",A1
2462,"Florian Kirchner, chargé du programme espèces de l'ONG, rappelle les nombreux enjeux et défis qui attendent notre pays, mais aussi le monde, en matière de conservation et de protection faunistique et floristique.",C1
2463,"En Allemagne, par exemple, on n'a pas cours l'après-midi, tandis que nous restons au collège jusqu'à 17 heures.",B1
2464,Comment vas-tu ?,A1
2465,Des enfants en choeur : Des petits pois avec de la salade !,A2
2466,"Non, dit l'un de ces messieurs, nous vous demandons si vous n'aimez pas tendrement le roi des Bulgares.",B1
2467,"Le régiment était composé de deux mille hommes ; cela lui composa quatre mille coups de baguette, qui, depuis la nuque du cou jusqu'au cul, lui découvrirent les muscles et les nerfs.",B2
2468,"Si les centaines de millions d'affamés de la planète sont inacceptables, la situation alimentaire internationale donne pourtant, selon les spécialistes, "" des signes lents mais tangibles d'amélioration"".",C1
2469,Il était juste un peu curieux.,A2
2470,"Ma chère Sonia, Je suis bien arrivée à Londres pour ma dernière année d'études de marketing à l'université.",B1
2471,Plusieurs pays ont commencé à appliquer les principes d'une gestion intelligente d'une ressource longtemps considérée comme inépuisable.,B2
2472,Il faudra bien que quelqu'un aide le petit à le faire.,A2
2473,Le chaufffeur de bus est en retard.,A1
2474,Je ne vois aucune contradiction entre la promotion des langues régionales et la défense du français,C2
2475,"Le poids croissant du Japon, l'émergence des nouveaux pays industrialisés (NPI) et, surtout, la montée en puissance spectaculaire de la Chine rappellent des réalités beaucoup plus anciennes qu'une hiérarchie économique entre les Occidentaux et le reste du Monde.",C2
2476,Il ne dit jamais rien qui puisse nous affecter outre mesure dans nos estimes de soi.,C1
2477,Il arrive bientôt.,A1
2478,"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux",B1
2479,"Du haut de la Tour Eiffel, on peut voir les principaux monuments de Paris",B1
2480,C'est en Italie que les deux mots sont le plus souvent associés.,A2
2481,"Quand le G20 du 15 avril décide le moratoire, c'est la première fois que la Chine acceptait, dans un cadre multilatéral, de participer à un moratoire.",B2
2482,"Les yeux de Fabrice se mouillèrent, il répandit des larmes en embrassant la comtesse, mais sa résolution de partir ne fut pas un instant ébranlée.",C1
2483,Le menu est imaginé chaque jour en fonction de ce que les chefs trouvent au marché de Lyon.,B1
2484,"Nous nous interrogeons sur le soutien moral et financier des pouvoirs publics à une campagne de sensibilisation dont le message (""Achetez du café qui vous permette de dormir tranquille"", encart publicitaire de la marque Max Havelaar France) suinte la vieille culture coloniale qui marque encore aujourd'hui nos imaginaires collectifs et notre rapport au monde: le rôle de l'État est-il de financer des opérations de ""communication éthique"" d'enseignes multinationales?",C1
2485,Ce sont elles qui les comptent et les mettent dans notre panier.,A2
2486,Les joueurs se furent rapidement ressaisis après la tentative désastreuse pour égaliser le score avant la mi-temps.,C1
2487,Tu n'oubliais pas ! Tu nettoyais la demeure de fond en combles.,B1
2488,"Homme de réseaux, le vagabond n'a pas coupé les liens avec le pays, qu'il maintient grâce au solide maillage des postes européennes.",C2
2489,"Revue une fois, elle sera cette fois plus facilement accessible""",C1
2490,"Selon les calculs du CNES, la batterie de Philae devait être totalement déchargée vers 02h00 GMT (03h00 locales).",B2
2491,"Mais, quand d'un passé ancien rien ne subsiste, aprés la mort des êtres, après la destruction des choses, seules, plus frèles mais plus vivaces, plus immatérielles, plus persistantes, plus fidèles, l'odeur et la saveur restent encore longtemps, comme des âmes, à se rappeler, à attendre, à espérer, sur la ruine de tout le reste, à porter sans fléchir, sur leur gouttelette presque impalpable, l'édifice immense du souvenir.",C2
2492,"Vous voyez, le rôle de l'école a changé.",A2
2493,"L'année dernière, je suis allé au bord de la Loire pour les vacances.",A2
2494,Elle est grande !,A1
2495,"Il y en a qui disent que c'est trop, mais pas moi.",B1
2496,"Les sénateurs élus au scrutin majoritaire, dont le siège devient vacant pour cause de décès, d'acceptation des fonctions de membre du Conseil constitutionnel ou de Défenseur des droits ou de prolongation au-delà du délai de six mois d'une mission temporaire confiée par le Gouvernement sont remplacés par les personnes élues en même temps qu'eux à cet effet.",C2
2497,"La naissance des Etats-nations, dont l'unité territoriale était étroitement liée à leur homogénéité linguistique, a également joué un rôle décisif dans la consolidation des langues adoptées comme nationales, et la marginalisation des autres.",C1
2498,"D'après Marx, les Hommes qui font du travail une contrainte sont ceux qui produisent les objets du désir des Hommes",C2
2499,"Je sais qu'elle est souvent seule à la maison, et que le soir il rentre très tard.",A2
2500,"C'est pratique, je veux dire, le moment de convalescence, vous portez un masque, donc de toute façon en règle générale ça ne se voit pas",B1
2501,Le réalisateur m'a expliqué qu'il avait longtemps cherché l'acteur idéal.,B1
2502,"Car sans incertitude nous serions cantonnés à une vie morne, dont la fresque ne serait teinte que de dégradés de gris, en absence complète de couleurs",C2
2503,"En 2003, les Français ont ainsi flambé 30 milliards d'euros, pour le plus grand profit de l'industrie du secteur et de l'État croupier, qui prélève sa dîme.",C2
2504,"Inversement, les régions tempérées lointaines n'intéressent que médiocrement les colonisateurs jusqu'à l'explosion démographique du Vieux Continent au XIXe siècle, moment où les pays neufs deviennent des polongements européens.",C2
2505,"Ces enfants s'étaient procuré quelques petites clefs, et quand la nuit était bien noire, ils essayaient d'ouvrir les cadenas de ces chaînes qui attachent les bateaux à quelque grosse pierre ou à quelque arbre voisin du rivage.",C1
2506,"Nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale",A2
2507,"Des paysans et des seigneurs, le plaid sur l'épaule, chantaient tous ensemble une chanson de chasse ; puis il survint un capitaine qui invoquait l'ange du mal en levant au ciel ses deux bras ; un autre parut ; ils s'en allèrent, et les chasseurs reprirent.",C2
2508,L'ensemble comporte également un nombre de pièces réduit.,C1
2509,C'est aussi un test pour les couples nouvellement formés ou qui n'avaient jamais expérimenté la vie à deux.,B1
2510,Je lui ai demandé ce que nous devions faire.,A2
2511,Nous allons au restaurant.,A1
2512,"Si vous ne mangez que des légumes, ce restaurant n'est pas pour vous !",B1
2513,Vous êtes française.,A1
2514,"Il se vit pénétrant jusqu'au coeur de la grande forêt, et découvrant une femme qui dormait parmi les branches, couchée sur un lit de mousse.",B2
2515,J'ai commencé ma journée en jouant du piano.,A2
2516,"Si vous voulez venir avec moi, je vous montrerai votre table.",A2
2517,"Il existe des outils pour le repérer, précisent les promoteurs de la méthode.",B2
2518,"Le centre Anatole France est situé dans le centre-ville, à quelques pas de la mairie.",B1
2519,"Il est intéressant de noter que jusqu'en 1995, le Festival de Deauville n'était pas compétitif",A2
2520,je réunis tous ceux qui j'aime bien pour fêter l'arrivée de l'été.,A1
2521,L'hôtel avait une belle piscine dont je n'ai pas eu le temps de profiter.,B1
2522,"Une personne désappointée est une personne qui n'a pas obtenu ce qu'elle attendait, ce qu'elle espérait.",A2
2523,"Certains, juchés sur le toit ou l'aile, refusaient de descendre.",C1
2524,"Mais cette année, nous ne savons pas si nous pourrons y aller.",B1
2525,"Le verbe d'Adnane était entièrement vacciné contre les mots omniprésents de la langue de bois de l'époque, comme s'il avait des oreilles-passoires filtrant les mots des médias et des haut-parleurs plantés sur chaque quartier.",C2
2526,Il porte aussi des lunettes rouges,A1
2527,ça me fait plaisir de manger de bonnes choses.,A2
2528,Chaque hiver constitue une nouvelle menace.,B2
2529,"Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.",A1
2530,"Un souffle de vent les dispersait, la pierre s'était de nouveau assombrie, mais, comme apprivoisés, ils revenaient ; elle recommençait imperceptiblement à blanchir et par un de ces crescendos continus comme ceux qui, en musique, à la fin d'une ouverture, mènent une seule note jusqu'au fortissimo suprême en la faisant passer rapidement par tous les degrés intermédiaires, je la voyais atteindre à cet or inaltérable et fixe des beaux jours, sur lequel l'ombre découpée de l'appui ouvragé de la balustrade se détachait en noir comme une végétation capricieuse, avec une ténuité dans la délinéation des moindres détails qui semblait trahir une conscience appliquée, une satisfaction d'artiste, et avec un tel relief, un tel velours dans le repos de ses masses sombres et heureuses qu'en vérité ces reflets larges et feuillus qui reposaient sur ce lac de soleil semblaient savoir qu'ils étaient des gages de calme et de bonheur.",C2
